nom;type;numero_carnet;temps_liturgique;page_pdf_debut;page_pdf_fin;lien_partition
 Esprit de Dieu souffle de vie;Entree;147;Ordinaire;180;180;/partitions/147.pdf
 Esprit de lumière Esprit créateur;Sortie;148;Ordinaire;181;182;/partitions/148.pdf
 Gloire à toi Esprit de feu (Gloire à toi, je veux chanter pour toi);Sortie;152;Ordinaire;186;186;/partitions/152.pdf
 Souffle imprévisible;Entree;160;Ordinaire;198;199;/partitions/160.pdf
Approchons-nous de la table;Offertoire;413;Ordinaire;487;487;/partitions/413.pdf
A l'agneau de Dieu;Offertoire;177;Ordinaire;220;220;/partitions/177.pdf
Adorez-le;Offertoire;181;Ordinaire;227;227;/partitions/181.pdf
Aimer c'est tout donner;Offertoire;183;Ordinaire;229;230;/partitions/183.pdf
Ame du Christ;Offertoire;184;Ordinaire;231;231;/partitions/184.pdf
Anima Christi;Offertoire;185;Ordinaire;232;232;/partitions/185.pdf
C'est par ta grâce;Offertoire;191;Ordinaire;239;240;/partitions/191.pdf
Dans nos obscurités;Offertoire;197;Ordinaire;246;246;/partitions/197.pdf
Dieu seul suffit (Solo Dios bastia);Offertoire;199;Ordinaire;248;248;/partitions/199.pdf
Donne moi seulement de t(aimer;Offertoire;201;Ordinaire;250;250;/partitions/201.pdf
En toi j'ai mis ma confiance;Offertoire;204;Ordinaire;253;253;/partitions/204.pdf
En toi ma confiance;Offertoire;205;Ordinaire;254;254;/partitions/205.pdf
Face adorable de Jésus;Offertoire;201;Ordinaire;260;260;/partitions/201.pdf
Garde moi mon Seigneur;Offertoire;213;Ordinaire;263;263;/partitions/213.pdf
Grain de blé;Offertoire;214;Ordinaire;265;265;/partitions/214.pdf
Heureux Bienheureux;Offertoire;215;Ordinaire;266;267;/partitions/215.pdf
Hostia Sancta;Offertoire;216;Ordinaire;268;269;/partitions/216.pdf
Humblement ;Offertoire;217;Ordinaire;270;270;/partitions/217.pdf
J'espère en silence;Offertoire;223;Ordinaire;277;277;/partitions/223.pdf
Je n'ai d'autre désir;Offertoire;226;Ordinaire;280;280;/partitions/226.pdf
Je ne t'ai point cherché;Offertoire;228;Ordinaire;283;283;/partitions/228.pdf
Je veux voir Dieu (canon);Offertoire;232;Ordinaire;288;232;/partitions/232.pdf
Je viens vers toi Jésus;Offertoire;233;Ordinaire;289;289;/partitions/233.pdf
Je vous ai choisis;Offertoire;234;Ordinaire;290;290;/partitions/234.pdf
Je vous aime O mon Dieu;Offertoire;235;Ordinaire;291;291;/partitions/235.pdf
Jésus le Christ;Offertoire;238;Ordinaire;296;292;/partitions/238.pdf
La voix du bien-aimé;Offertoire;245;Ordinaire;305;306;/partitions/245.pdf
Laissez-vous consumer;Offertoire;246;Ordinaire;307;308;/partitions/246.pdf
Le Seigneur est ma lumière et mon salut;Offertoire;249;Ordinaire;311;311;/partitions/249.pdf
Lucis Eterne Splendor;Offertoire;251;Ordinaire;313;313;/partitions/251.pdf
Mendiez;Offertoire;253;Ordinaire;315;315;/partitions/253.pdf
Mon Père je m'abandonne à toi;Offertoire;258;Ordinaire;321;321;/partitions/258.pdf
